transcript10895,FALSE,,,,
transcript10941,TRUE,,,Raw count,Percentage
transcript11700,TRUE,,,55,74.32432432
transcript12465,TRUE,,,19,25.67567568
transcript13677,TRUE,,,,
transcript13918,TRUE,,,,
transcript14225,TRUE,,,,
transcript14226,TRUE,,,,
transcript14917,TRUE,,,,
transcript16528,FALSE,,,,
transcript17300,FALSE,,,,
transcript17572,TRUE,,,,
transcript18069,TRUE,,,,
transcript18575,TRUE,,,,
transcript19193,TRUE,,,,
transcript19745,TRUE,,,,
transcript20002,TRUE,,,,
transcript20045,TRUE,,,,
transcript20398,TRUE,,,,
transcript22152,TRUE,,,,
transcript23694,TRUE,,,,
transcript23901,TRUE,,,,
transcript24578,TRUE,,,,
transcript24743,TRUE,,,,
transcript24744,FALSE,,,,
transcript2477,TRUE,,,,
transcript25259,TRUE,,,,
transcript27102,TRUE,,,,
transcript27487,TRUE,,,,
transcript27642,FALSE,,,,
transcript27755,TRUE,,,,
transcript27958,TRUE,,,,
transcript28374,TRUE,,,,
transcript29767,TRUE,,,,
transcript31471,TRUE,,,,
transcript32194,FALSE,,,,
transcript32828,TRUE,,,,
transcript33664,FALSE,,,,
transcript34219,TRUE,,,,
transcript35003,TRUE,,,,
transcript35004,TRUE,,,,
transcript35344,TRUE,,,,
transcript39009,FALSE,,,,
transcript39429,TRUE,,,,
transcript40608,FALSE,,,,
transcript40666,TRUE,,,,
transcript40970,FALSE,,,,
transcript40972,FALSE,,,,
transcript41291,FALSE,,,,
transcript41292,FALSE,,,,
transcript41293,FALSE,,,,
transcript43463,TRUE,,,,
transcript43464,FALSE,,,,
transcript43767,TRUE,,,,
transcript44165,TRUE,,,,
transcript44805,TRUE,,,,
transcript45137,FALSE,,,,
transcript46940,TRUE,,,,
transcript48338,FALSE,,,,
transcript48928,TRUE,,,,
transcript49085,TRUE,,,,
transcript49565,FALSE,,,,
transcript50617,TRUE,,,,
transcript52161,TRUE,,,,
transcript52794,TRUE,,,,
transcript53783,FALSE,,,,
transcript54109,TRUE,,,,
transcript54435,TRUE,,,,
transcript54530,TRUE,,,,
transcript55485,TRUE,,,,
transcript55492,TRUE,,,,
transcript55493,TRUE,,,,
transcript9577,TRUE,,,,
transcript9984,TRUE,,,,
